"id","mz_ratio","intensity"
"Jamaicamide A M+H",425.552307,72.799423
"Jamaicamide A M+H",426.220306,143.118927
"Jamaicamide A M+H",427.158203,479.524994
"Jamaicamide A M+H",428.224915,64.883736
"Jamaicamide A M+H",441.246002,98.832924
"Jamaicamide A M+H",471.167633,164.450424
"Jamaicamide A M+H",473.265869,3136.59668
"Jamaicamide A M+H",474.231354,1066.490723
"Jamaicamide A M+H",475.307495,175.221024
"Jamaicamide A M+H",492.085266,332.703247
"Jamaicamide A M+H",493.076416,1129.619263
"Jamaicamide A M+H",494.027557,5617.645996
"Jamaicamide A M+H",495.074432,302.610535
"Jamaicamide A M+H",509.195129,424.18631
"Jamaicamide A M+H",510.243011,139.189636
"Jamaicamide A M+H",511.204071,248.164093
"Jamaicamide A M+H",541.665894,69.976761
"Jamaicamide A M+H",546.123291,68.014969
"Jamaicamide A M+H",547.149048,292.271393
"Jamaicamide A M+H",553.077698,236.768433
"Jamaicamide A M+H",554.069458,222.712357
"Jamaicamide A M+H",555.183777,457.981934
"Jamaicamide A M+H",558.245728,519.123718
"Jamaicamide A M+H",559.127808,1270.704834
"Jamaicamide A M+H",560.060547,126.022324
"Jamaicamide B M+H",188.331879,71.477921
"Jamaicamide B M+H",208.113312,1401.664062
"Jamaicamide B M+H",209.191757,766.904236
"Jamaicamide B M+H",230.322784,82.840881
"Jamaicamide B M+H",282.255127,128.110748
"Jamaicamide B M+H",283.319214,112.656029
"Jamaicamide B M+H",284.342499,166.877213
"Jamaicamide B M+H",356.44046,87.23642
"Jamaicamide B M+H",357.312592,134.806778
"Jamaicamide B M+H",392.356018,2180.280029
"Jamaicamide B M+H",393.188446,6531.459961
"Jamaicamide B M+H",394.137756,576.571411
"Jamaicamide B M+H",458.237976,323.420624
"Barbamide M+H",133.944092,3844172
"Barbamide M+H",188.098694,617251
"Barbamide M+H",206.736328,801347
"Barbamide M+H",218.758698,27247216
"Barbamide M+H",242.73822,2930930
"Carmaphycin B M+H",153.891968,1082047
"Carmaphycin B M+H",181.802505,1138185
"Carmaphycin B M+H",197.768799,544391
"Carmaphycin B M+H",299.91864,141324
"Carmaphycin B M+H",316.884705,2312838
"Carmaphycin B M+H",334.886261,13922001
"Carmaphycin B M+H",360.777222,1833213
"Carmaphycin B M+H",433.990631,220465
"Carmaphycin B M+H",514.111389,1427860
"Tumonoic Acid I M+H",223.762924,6000360
"Tumonoic Acid I M+H",251.832596,43308768
"Tumonoic Acid I M+H",343.971649,9393978
"Tumonoic Acid I M+H",365.143951,935109
"Tumonoic Acid I M+H",365.896942,85402448
"Tumonoic Acid I M+H",383.95047,1933900
"Tumonoic Acid I M+H",451.88739,4897305
"Tumonoic Acid I M+H",479.850281,2147841
"Carmabin A M+H",312.02533,180338
"Carmabin A M+H",339.916626,1223202
"Carmabin A M+H",410.921661,221644
"Carmabin A M+H",494.923859,44691
"Carmabin A M+H",495.954559,2344599
"Cyclomarin D M+H",100.112167,15284.570312
"Cyclomarin D M+H",100.205116,309.937592
"Cyclomarin D M+H",101.115768,1336.70105
"Cyclomarin D M+H",102.089752,248.590393
"Cyclomarin D M+H",112.112091,401.208405
"Cyclomarin D M+H",118.064522,300.690399
"Cyclomarin D M+H",120.080528,348.135315
"Cyclomarin D M+H",121.064514,1369.887939
"Cyclomarin D M+H",122.06916,158.182297
"Cyclomarin D M+H",128.107132,1315.454956
"Cyclomarin D M+H",129.108963,153.676407
"Cyclomarin D M+H",130.076782,249.680893
"Cyclomarin D M+H",144.079727,182.499802
"Cyclomarin D M+H",146.059479,1523.380005
"Cyclomarin D M+H",146.115906,355.017914
"Cyclomarin D M+H",147.063904,160.136597
"Cyclomarin D M+H",150.08905,468.240295
"Cyclomarin D M+H",155.117249,391.231201
"Cyclomarin D M+H",156.100952,1738.562012
"Cyclomarin D M+H",157.08078,422.855591
"Cyclomarin D M+H",160.109848,163.950195
"Cyclomarin D M+H",174.126816,333.656311
"Cyclomarin D M+H",183.05481,359.720001
"Cyclomarin D M+H",183.112564,448.475403
"Cyclomarin D M+H",184.111603,451.9245
"Cyclomarin D M+H",185.070175,893.923584
"Cyclomarin D M+H",185.115082,275.561615
"Cyclomarin D M+H",189.102051,198.0215
"Cyclomarin D M+H",198.125702,156.245605
"Cyclomarin D M+H",199.143936,420.406799
"Cyclomarin D M+H",199.176712,211.094299
"Cyclomarin D M+H",200.070923,495.455414
"Cyclomarin D M+H",201.122559,944.347412
"Cyclomarin D M+H",202.119629,155.876694
"Cyclomarin D M+H",210.148422,696.777771
"Cyclomarin D M+H",211.151733,158.395798
"Cyclomarin D M+H",217.097473,2635.501953
"Cyclomarin D M+H",217.129395,1544.515991
"Cyclomarin D M+H",218.102051,517.443909
"Cyclomarin D M+H",218.13031,307.388611
"Cyclomarin D M+H",221.127426,479.292389
"Cyclomarin D M+H",225.156387,1815.516968
"Cyclomarin D M+H",226.158615,418.876404
"Cyclomarin D M+H",227.175201,2535.25293
"Cyclomarin D M+H",228.177826,544.721619
"Cyclomarin D M+H",229.18483,166.992493
"Cyclomarin D M+H",239.211594,1524.642944
"Cyclomarin D M+H",240.215363,329.187103
"Cyclomarin D M+H",245.12825,3910.658936
"Cyclomarin D M+H",246.130447,858.431824
"Cyclomarin D M+H",249.157669,944.608215
"Cyclomarin D M+H",250.160233,233.027496
"Cyclomarin D M+H",253.143387,3955.375
"Cyclomarin D M+H",254.143967,938.370789
"Cyclomarin D M+H",257.185669,1677.610962
"Cyclomarin D M+H",258.18927,382.315186
"Cyclomarin D M+H",267.206665,460.902588
"Cyclomarin D M+H",268.208344,160.352905
"Cyclomarin D M+H",270.159973,195.191406
"Cyclomarin D M+H",271.15094,193.801804
"Cyclomarin D M+H",277.15509,840.249329
"Cyclomarin D M+H",278.159668,178.056793
"Cyclomarin D M+H",279.1492,235.776093
"Cyclomarin D M+H",281.128204,792.074829
"Cyclomarin D M+H",282.134979,176.537094
"Cyclomarin D M+H",288.169708,184.625107
"Cyclomarin D M+H",296.141663,193.539597
"Cyclomarin D M+H",307.144348,540.297302
"Cyclomarin D M+H",308.149353,196.092194
"Cyclomarin D M+H",314.149963,599.809387
"Cyclomarin D M+H",316.16626,3081.961914
"Cyclomarin D M+H",317.168671,770.168884
"Cyclomarin D M+H",328.165497,1396.821045
"Cyclomarin D M+H",328.221985,1382.553955
"Cyclomarin D M+H",329.169434,482.825989
"Cyclomarin D M+H",329.225494,362.327209
"Cyclomarin D M+H",335.17749,400.295105
"Cyclomarin D M+H",338.242493,394.86441
"Cyclomarin D M+H",344.196167,794.935181
"Cyclomarin D M+H",345.206573,366.820007
"Cyclomarin D M+H",346.179535,738.508118
"Cyclomarin D M+H",347.199341,327.678894
"Cyclomarin D M+H",348.198456,159.465302
"Cyclomarin D M+H",349.191772,1303.300049
"Cyclomarin D M+H",350.194397,463.408997
"Cyclomarin D M+H",354.219055,182.089905
