"id","mzs","ints"
6552132,172,40
6552132,173,40
6552132,174,10
6552132,175,10
6552132,179,10
6552132,181,10
6552132,182,10
6552132,183,40
6552132,184,40
6552132,185,110
6552132,186,40
6552132,187,80
6552132,188,180
6552132,189,30
6552132,190,10
6552132,196,10
6552132,197,10
6552132,199,210
6552132,200,60
6552132,201,70
6552132,202,80
6552132,203,751
6552132,204,70
6552132,205,40
6552132,206,10
6552132,207,10
6552132,212,10
6552132,213,40
6552132,214,40
6552132,215,200
6552132,216,100
6552132,217,250
6552132,218,30
6552132,219,10
6552132,220,160
6552132,221,20
6552132,222,10
6552132,223,10
6552132,227,10
6552132,228,10
6552132,229,120
6552132,230,60
6552132,231,951
6552132,232,140
6552132,233,50
6552132,234,20
6552132,235,100
6552132,236,10
6552132,237,10
6552132,243,10
6552132,244,10
6552132,245,50
6552132,246,50
6552132,247,470
6552132,248,120
6552132,249,30
6552132,250,10
6552132,259,10
6552132,261,470
6552132,262,2452
6552132,263,9999
6552132,264,1171
6552132,265,591
6552132,266,60
6552132,267,10
6552132,278,2953
6552132,279,380
6552132,280,190
6552132,281,20
6552132,282,10
1333740,1,210
1333740,2,9999
7782390,2,159
7782390,4,9999
334883,12,1102
334883,13,2205
334883,14,9999
334883,15,252
334883,26,126
334883,27,583
334883,28,1795
334883,29,205
334883,40,220
334883,41,1102
334883,42,4252
334883,43,110
463514,12,1251
463514,13,1311
463514,14,9999
463514,15,120
463514,16,100
463514,20,10
463514,21,180
463514,24,440
463514,25,581
463514,26,160
463514,27,10
463514,28,1131
463514,29,681
463514,30,10
463514,40,510
463514,41,2652
463514,42,9398
463514,43,210
463514,44,10
107255,12,400
107255,13,971
107255,14,2462
107255,15,9999
107255,16,80
107255,17,10
107255,18,20
107255,24,130
107255,25,561
107255,26,2893
107255,27,6025
107255,28,6596
107255,29,6286
107255,30,561
107255,31,4034
107255,32,260
107255,33,20
107255,35,10
107255,36,20
107255,37,10
107255,38,20
107255,39,60
107255,40,80
107255,41,270
107255,42,1992
107255,43,6856
107255,44,180
107255,45,20
107255,52,10
107255,53,10
107255,54,10
107255,55,50
107255,56,20
107255,57,470
107255,58,7757
107255,59,270
107255,60,20
378756,12,30
378756,13,50
378756,15,9999
378756,16,100
378756,20,10
378756,29,1231
378756,30,230
378756,31,1762
378756,33,200
378756,43,40
378756,44,90
378756,45,80
378756,47,50
378756,50,641
378756,51,70
378756,59,6426
378756,60,140
378756,61,30
378756,62,20
378756,65,70
378756,69,3083
378756,70,30
378756,71,20
378756,78,60
378756,81,480
378756,82,10
378756,97,300
378756,98,10
378756,100,891
378756,101,20
378756,103,20
378756,109,10
378756,119,2542
378756,120,50
378756,128,40
378756,129,10
378756,131,300
378756,132,10
378756,147,160
378756,149,70
378756,177,10
77462545,15,9999
77462545,16,140
77462545,18,190
77462545,26,460
77462545,27,4084
77462545,28,851
77462545,29,1271
77462545,30,120
77462545,31,480
77462545,33,40
77462545,35,60
77462545,36,80
77462545,37,60
77462545,38,230
77462545,39,2783
77462545,40,360
77462545,41,781
77462545,42,761
77462545,43,1041
77462545,44,270
77462545,45,681
77462545,47,80
77462545,50,290
77462545,51,611
77462545,52,571
77462545,53,3213
77462545,54,1591
77462545,55,3423
77462545,56,230
77462545,57,140
77462545,58,290
77462545,59,7917
77462545,60,210
77462545,63,40
77462545,67,290
77462545,68,340
77462545,69,360
77462545,70,80
77462545,71,4784
77462545,72,190
77462545,73,140
77462545,74,250
77462545,75,821
77462545,79,80
77462545,80,741
77462545,81,4124
77462545,82,911
77462545,83,550
77462545,84,210
77462545,85,530
77462545,86,40
77462545,87,210
77462545,90,40
77462545,91,40
77462545,95,40
77462545,97,851
77462545,98,5825
77462545,99,6786
77462545,100,290
77462545,101,230
77462545,108,3613
77462545,109,2532
77462545,110,170
77462545,111,380
77462545,112,1651
77462545,113,3043
77462545,114,290
77462545,115,40
77462545,117,60
77462545,127,60
77462545,130,60
77462545,140,1932
77462545,141,1311
77462545,142,120
77462545,157,40
77462545,171,60
947579,12,68
947579,13,83
947579,15,9999
947579,16,172
947579,17,39
947579,18,97
947579,24,15
947579,25,47
947579,26,360
947579,27,1212
947579,28,567
947579,29,1962
947579,30,504
947579,31,580
947579,32,78
947579,33,32
947579,36,25
947579,37,481
947579,38,1232
947579,39,4634
947579,40,907
947579,41,548
947579,42,54
947579,43,240
947579,44,112
947579,45,509
947579,46,77
947579,47,20
947579,48,21
947579,49,168
947579,50,1180
947579,51,2067
947579,52,917
947579,53,1061
947579,54,130
947579,55,225
947579,56,6
947579,57,22
947579,58,6
947579,59,5507
947579,60,165
947579,61,493
947579,62,1786
947579,63,4571
947579,64,1682
947579,65,2581
947579,66,8849
947579,67,591
947579,69,184
947579,70,17
947579,71,29
947579,73,89
947579,74,291
947579,75,355
947579,76,17
947579,77,3833
947579,78,1651
947579,79,1995
947579,80,308
947579,81,93
947579,83,73
947579,84,37
947579,85,100
947579,86,230
947579,87,279
947579,88,29
947579,89,4723
947579,90,5136
947579,91,4839
947579,92,1333
947579,93,1090
947579,94,156
947579,95,684
947579,96,132
947579,97,34
947579,101,30
947579,103,530
947579,104,462
947579,105,2519
947579,106,1041
947579,107,262
947579,108,40
947579,109,65
947579,110,58
947579,111,433
947579,112,35
947579,113,11
947579,115,52
947579,117,950
947579,118,3621
947579,119,3276
947579,120,406
947579,121,1585
947579,122,213
947579,123,81
947579,124,171
947579,125,20
947579,126,15
947579,129,8
947579,131,103
947579,133,1133
947579,134,401
947579,135,252
947579,136,46
947579,137,187
947579,138,60
947579,139,48
947579,143,54
947579,144,90
947579,145,293
947579,146,135
947579,147,267
947579,148,1139
947579,149,6125
947579,150,1003
947579,151,306
947579,152,36
947579,154,63
947579,155,11
947579,159,17
947579,161,2260
947579,162,242
947579,163,472
947579,164,61
947579,165,83
947579,166,8
947579,172,8
947579,173,17
947579,174,15
947579,176,4113
947579,177,3741
947579,178,517
947579,179,70
947579,180,37
947579,182,290
947579,183,26
947579,193,1576
947579,194,177
947579,195,23
947579,205,11
947579,207,581
947579,208,1895
947579,209,226
947579,210,24
