"id","mzs","ints"
3695849,41,131
3695849,42,46
3695849,44,89
3695849,45,260
3695849,49,329
3695849,50,3753
3695849,51,7436
3695849,52,1224
3695849,53,288
3695849,59,1883
3695849,61,489
3695849,62,784
3695849,63,1194
3695849,64,380
3695849,65,204
3695849,66,261
3695849,73,251
3695849,74,1544
3695849,75,2553
3695849,76,1819
3695849,77,6182
3695849,78,702
3695849,79,50
3695849,85,111
3695849,86,156
3695849,87,313
3695849,88,361
3695849,89,407
3695849,90,94
3695849,91,479
3695849,92,103
3695849,98,250
3695849,99,641
3695849,100,1214
3695849,101,3665
3695849,102,2947
3695849,103,353
3695849,104,74
3695849,105,126
3695849,107,1
3695849,108,90
3695849,114,154
3695849,115,751
3695849,116,550
3695849,117,112
3695849,118,20
3695849,121,3472
3695849,122,345
3695849,127,2511
3695849,128,7445
3695849,129,1293
3695849,130,265
3695849,131,106
3695849,135,3
3695849,140,101
3695849,141,377
3695849,142,757
3695849,143,543
3695849,144,169
3695849,145,29
3695849,146,6
3695849,154,27
3695849,155,228
3695849,156,7940
3695849,157,979
3695849,158,273
3695849,172,620
3695849,173,74
3695849,183,10
3695849,186,4313
3695849,187,6300
3695849,188,868
