"id","mz_ratio","intensity"
"1-hydroxyphenazine M+H",116.97818,118
"1-hydroxyphenazine M+H",117.585838,111
"1-hydroxyphenazine M+H",117.790863,128
"1-hydroxyphenazine M+H",117.988525,171
"1-hydroxyphenazine M+H",119.203194,119
"1-hydroxyphenazine M+H",120.043304,174
"1-hydroxyphenazine M+H",120.888016,128
"1-hydroxyphenazine M+H",121.152908,123
"1-hydroxyphenazine M+H",121.447937,109
"1-hydroxyphenazine M+H",122.776596,150
"1-hydroxyphenazine M+H",125.770523,133
"1-hydroxyphenazine M+H",127.412819,132
"1-hydroxyphenazine M+H",127.412926,132
"1-hydroxyphenazine M+H",127.841133,128
"1-hydroxyphenazine M+H",128.268112,119
"1-hydroxyphenazine M+H",130.259155,137
"1-hydroxyphenazine M+H",130.259277,137
"1-hydroxyphenazine M+H",130.747986,116
"1-hydroxyphenazine M+H",130.799744,119
"1-hydroxyphenazine M+H",131.472595,121
"1-hydroxyphenazine M+H",131.510895,131
"1-hydroxyphenazine M+H",131.732162,156
"1-hydroxyphenazine M+H",132.026184,114
"1-hydroxyphenazine M+H",133.288849,149
"1-hydroxyphenazine M+H",135.206604,121
"1-hydroxyphenazine M+H",135.996262,124
"1-hydroxyphenazine M+H",137.629517,119
"1-hydroxyphenazine M+H",141.258682,166
"1-hydroxyphenazine M+H",144.60289,132
"1-hydroxyphenazine M+H",145.923813,144
"1-hydroxyphenazine M+H",146.167114,115
"1-hydroxyphenazine M+H",146.476425,120
"1-hydroxyphenazine M+H",147.763687,137
"1-hydroxyphenazine M+H",148.072128,108
"1-hydroxyphenazine M+H",149.007278,160
"1-hydroxyphenazine M+H",150.601013,134
"1-hydroxyphenazine M+H",150.887482,131
"1-hydroxyphenazine M+H",152.379257,140
"1-hydroxyphenazine M+H",152.37941,140
"1-hydroxyphenazine M+H",153.690094,122
"1-hydroxyphenazine M+H",157.085068,128
"1-hydroxyphenazine M+H",157.879471,109
"1-hydroxyphenazine M+H",158.272598,121
"1-hydroxyphenazine M+H",159.693329,117
"1-hydroxyphenazine M+H",159.8694,125
"1-hydroxyphenazine M+H",162.458893,136
"1-hydroxyphenazine M+H",162.957092,121
"1-hydroxyphenazine M+H",163.012955,124
"1-hydroxyphenazine M+H",163.361679,121
"1-hydroxyphenazine M+H",164.605652,180
"1-hydroxyphenazine M+H",165.048828,114
"1-hydroxyphenazine M+H",167.56073,101
"1-hydroxyphenazine M+H",167.611832,127
"1-hydroxyphenazine M+H",169.07605,1191
"1-hydroxyphenazine M+H",171.899658,169
"1-hydroxyphenazine M+H",174.041779,127
"1-hydroxyphenazine M+H",178.163376,122
"1-hydroxyphenazine M+H",178.548889,139
"1-hydroxyphenazine M+H",179.058823,206
"1-hydroxyphenazine M+H",179.060303,3019
"1-hydroxyphenazine M+H",179.114227,133
"1-hydroxyphenazine M+H",179.405991,128
"1-hydroxyphenazine M+H",180.043655,107
"1-hydroxyphenazine M+H",182.426086,164
"1-hydroxyphenazine M+H",183.178101,131
"1-hydroxyphenazine M+H",183.221252,126
"1-hydroxyphenazine M+H",184.257675,125
"1-hydroxyphenazine M+H",184.750824,112
"1-hydroxyphenazine M+H",187.82457,148
"1-hydroxyphenazine M+H",187.903687,146
"1-hydroxyphenazine M+H",188.4655,156
"1-hydroxyphenazine M+H",189.898621,126
"1-hydroxyphenazine M+H",190.922501,141
"1-hydroxyphenazine M+H",191.13353,137
"1-hydroxyphenazine M+H",194.838593,137
"1-hydroxyphenazine M+H",195.401917,120
"1-hydroxyphenazine M+H",195.834137,119
"1-hydroxyphenazine M+H",196.048553,119
"1-hydroxyphenazine M+H",196.860077,122
"1-hydroxyphenazine M+H",202.61853,297
"1-hydroxyphenazine M+H",202.622055,129
"1-hydroxyphenazine M+H",205.463715,148
"1-hydroxyphenazine M+H",207.862106,107
"1-hydroxyphenazine M+H",208.412262,124
"1-hydroxyphenazine M+H",215.077087,127
"1-hydroxyphenazine M+H",215.131699,121
"1-hydroxyphenazine M+H",215.310974,135
"1-hydroxyphenazine M+H",215.606049,120
"1-hydroxyphenazine M+H",216.485947,148
"1-hydroxyphenazine M+H",218.026474,110
"1-hydroxyphenazine M+H",220.801041,123
"1-hydroxyphenazine M+H",221.603104,172
"1-hydroxyphenazine M+H",225.967377,109
"1-hydroxyphenazine M+H",226.671204,119
"1-hydroxyphenazine M+H",228.616425,193
"1-hydroxyphenazine M+H",229.504501,127
"1-hydroxyphenazine M+H",232.88739,130
"1-hydroxyphenazine M+H",239.84343,131
