"id"	"mz_ratio"	"intensity"
"Bastimolide A M+H"	479.079346	12778
"Bastimolide A M+H"	485.230835	12860
"Bastimolide A M+H"	496.968872	21877
"Bastimolide A M+H"	499.144348	37244
"Bastimolide A M+H"	513.170166	10274
"Bastimolide A M+H"	515.096436	32462
"Bastimolide A M+H"	517.243286	15428
"Bastimolide A M+H"	581.068115	16804
"Bastimolide A M+H"	598.88501	10673
"Bastimolide A M+H"	609.10022	27720
"Bastimolide A M+H"	627.087891	144108
"Bastimolide A M+H"	645.255859	373848
"Bastimolide A M+H"	662.585205	17349
"Bastimolide A M+H"	663.270996	458637
"Bastimolide A M+H"	681.176758	885073
"Bastimolide A M+H"	699.150513	1022156
"Bastimolide A M+H"	717.159912	795882
"Bastimolide A M+H"	735.155029	834671
"Bastimolide A M+H"	752.505127	17031
"Bastimolide A M+H"	753.218628	774239
"Bastimolide A M+H"	771.178467	992772
"BouillonamideB M+H"	216.051178	504442
"BouillonamideB M+H"	281.85144	49305
"BouillonamideB M+H"	300.01416	200084
"BouillonamideB M+H"	347.016479	91412
"BouillonamideB M+H"	412.994141	3717701
"BouillonamideB M+H"	524.889282	140703
"BouillonamideB M+H"	600.125732	64822
"Portoamide_A M+H"	438.920837	5843
"Portoamide_A M+H"	460.22522	9102
"Portoamide_A M+H"	487.019775	3992
"Portoamide_A M+H"	496.506714	21517
"Portoamide_A M+H"	517.890747	4913
"Portoamide_A M+H"	531.76355	10473
"Portoamide_A M+H"	577.244629	14568
"Portoamide_A M+H"	578.106934	17559
"Portoamide_A M+H"	605.178833	15574
"Portoamide_A M+H"	630.981934	8468
"Portoamide_A M+H"	645.310059	11955
"Portoamide_A M+H"	706.019775	10742
"Portoamide_A M+H"	745.061157	23735
"Portoamide_A M+H"	763.21106	12326
"Portoamide_A M+H"	790.38916	7225
"Portoamide_A M+H"	796.850098	6432
"Portoamide_A M+H"	799.457764	44520
"Portoamide_A M+H"	805.290283	14661
"Portoamide_A M+H"	815.203857	15481
"Portoamide_A M+H"	817.05603	4692
"Portoamide_A M+H"	833.231934	12722
"Portoamide_A M+H"	839.960449	5364
"Portoamide_A M+H"	848.118652	10252
"Portoamide_A M+H"	851.370117	4114
"Portoamide_A M+H"	869.076416	5373
"Portoamide_A M+H"	869.730591	3931
"Portoamide_A M+H"	872.371826	17626
"Portoamide_A M+H"	884.175049	18207
"Portoamide_A M+H"	896.897949	10292
"Portoamide_A M+H"	900.96167	5656
"Portoamide_A M+H"	901.771729	16924
"Portoamide_A M+H"	919.512695	17875
"Portoamide_A M+H"	920.366455	34438
"Portoamide_A M+H"	937.006958	28939
"Portoamide_A M+H"	938.283447	6957
"Portoamide_A M+H"	941.344116	5141
"Portoamide_A M+H"	946.322876	7662
"Portoamide_A M+H"	954.845337	16848
"Portoamide_A M+H"	962.25293	4289
"Portoamide_A M+H"	974.355591	4412
"Portoamide_A M+H"	980.616455	26740
"Portoamide_A M+H"	986.370483	13426
"Portoamide_A M+H"	998.061157	31886
"Portoamide_B M+H"	459.713379	533353
"Portoamide_B M+H"	469.041504	458600
"Portoamide_B M+H"	478.123413	1453903
"Portoamide_B M+H"	519.914917	645062
"Portoamide_B M+H"	531.20874	361484
"Portoamide_B M+H"	538.733521	299759
"Portoamide_B M+H"	544.202515	239972
"Portoamide_B M+H"	559.346436	344656
"Portoamide_B M+H"	573.875732	262272
"Portoamide_B M+H"	614.37854	325928
"Portoamide_B M+H"	647.76001	434747
"Portoamide_B M+H"	665.198486	328469
"Portoamide_B M+H"	671.995605	380645
"Portoamide_B M+H"	682.956787	1211052
"Portoamide_B M+H"	687.138672	1154243
"Portoamide_B M+H"	689.258545	882301
"Portoamide_B M+H"	694.188721	191832
"Portoamide_B M+H"	705.773438	1070403
"Portoamide_B M+H"	713.063232	720567
"Portoamide_B M+H"	723.91333	641462
"Portoamide_B M+H"	745.835327	620622
"Portoamide_B M+H"	770.219727	598863
"Portoamide_B M+H"	779.211182	1052955
"Portoamide_B M+H"	787.256104	243404
"Portoamide_B M+H"	788.188965	494317
"Portoamide_B M+H"	796.23584	424859
"Portoamide_B M+H"	797.370605	1051100
"Portoamide_B M+H"	815.414551	1377055
"Portoamide_B M+H"	829.004395	333949
"Portoamide_B M+H"	831.044189	399981
"Portoamide_B M+H"	832.911011	1196504
"Portoamide_B M+H"	834.151367	588382
"Portoamide_B M+H"	837.498413	914040
"Portoamide_B M+H"	850.151855	288359
